Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
I'm so done right now...I hate this feeling of being lost I'm so used to being in control,3,2,3,3
OOHH!!! so smooth!! lakers baby..two-four all day everyday,6,6,5,7
It's been a Stevie Wonder kind of week. :D,6,6,4,2
schizophrenia test =/,4,3,2,2
I'm a cat.,5,5,1,1
<3,6,6,1,1
Fina go to dis party then tallahassee,5,5,2,1
bOrEd OuT oF mY MiNd,4,4,3,3
starting school next month,5,5,1,1
lets go steelers,6,5,2,1
"says Don't Be Serious Be Sincere\\""""",6,5,2,1
I got the cops outside and the game on tv what to watch,5,5,1,1
is hurting...,4,2,1,3
Going to take my neice Georgia Hudson ice skating.here goes the wet sore butt from falling over .,5,5,2,1
Every seems like a pointless repetitive cycle that never ends but it must go on. I just want something to happen to make it seem like there's a point to it all.,4,1,2,1
when u say that ever1 is going to dq ur supposed to come inside not take the drive thru...:),5,5,2,3
"In Fayetteville now.  I flew in to Raleigh-Durham airport, and on the drive I knew I was getting close when I started seeing fences around used car dealerships.  The pawn shops and payday loan places were dead giveaways too.  Ditto strip clubs.  You military/veteran guys know just what I'm talking about.",5,5,2,1
"His armband proved he was a red, Torres, Torres, you'll never walk alone it said, Torres, Torres...",5,5,2,1
hates waking up @ 5am,4,4,3,1
Hello all. hope everyone has a good day.,6,6,2,1
I have been busy scoring online.,5,5,2,1
Keepin my head high and doin what I can,6,8,2,1
"It must've been so hard on you        I'm sorry for all I put you through        I'm sorry for the helping hand I didn't lend        I wish I'd been a better friend        How do I tell you I'm sorry -        With a gesture, a look, a touch?        How is it I never realized        I hurt you so much        I'm sorry I hurt you        I didn't mean to        I'm sorry I hurt you,         I regret it, I do.        What I did, I regret",4,2,3,1
That nigga ray still mean after 15yrs in the league!,4,5,6,5
is thinking it is too early...getting ready to go to my mom's yard sale :),6,6,4,3
i hate the fucking snow,3,2,4,3
"WHENEVER I NEED ANYTHING FROM YOU, I GET IT. BUT I DON'T KNOW HOW YOU GET TO KNOW MY NEEDS WITHOUT EVEN YET BEING PART OF MY LIFE.",4,5,5,4
it's snowing in hiram and it looks like it's stickin^.^,6,5,3,2
finals D:,4,4,2,2
just bought a phone =],6,6,2,2
exhausted and my back is so weak still from yesterday and my tat...,4,3,2,3
<PERSON> wer pox lucky today da bastards.united wil be bak on top in no time!!,6,4,6,5
coo.. friday night headin out to club laterz an keepin warm...,5,5,3,3
Go you All White good things!!,6,5,6,5
Was trying on school uniforms xD feels so weird wearing them again D:,5,5,3,3
lalala Had a good day today :] Text meeee 951-741-0883,6,6,4,2
"its ok 2 scream n if u nd2, take a secnd2 breathe..(deep breath) hey, der it is..i cn fl ur legs tremblin' u fl da sweat drippn frm my chest n den u lyk oh-oh-oh bby dnt stp n i b lyk no-i-won't ima tke u 2 da top..('',)",5,5,3,1
"if anyone is wondering why I'm not calling or texting back, my Blackberry died Saturday night... hopefully it is just the battery!",5,5,3,5
"Decided to play along with this Way-Back Week\ picture thing.\""""",5,5,2,1
"There is no sin except stupidity.\                                                                 Oscar Wilde\""""",5,5,2,1
Maybe your subconcious can make me some waffles. \\n *Pink Spider*,5,5,2,1
Wants to see everyone again!,6,6,5,5
"It's exciting to get a new washer, but not so exciting to clean up the inch of water that flooded our utility room, kitchen, and dining room!  Thanks <PERSON> and <PERSON>for installing the washer WRONG!!!",4,3,7,7
bored has no life and is want to go do something,4,3,1,1
"i am crying i am laughing so hard, my assistant kills me with her stories.....marshmallow puff? really<PERSON>, really?",5,7,5,3
my rollercoaster...,5,5,2,2
Kudos to you Mom!! I'm really happy something good has finally come your way!! Love You!!,8,7,7,6
hopes my mom feels better soon...she broke her arm at church today.  Let that be a lesson to everyone about going to mass on weekdays!,4,4,5,4
gudnyt everybody,5,5,1,1
"I've become a huge fan of the delete\ option in the matrix controls for MathCad.  Makes simplifying those pesky Stiffness Matrices a lot faster.  Assuming one deletes the correct rows and columns.\""""",5,5,1,1
New jobs are good.... I guess,6,5,1,3
reading Siddhartha,5,5,1,1
"My heart is broken for my sister. Her husband died today. She is a total mess, but I will help her get through this. I am strong enough. Maybe if I tell myself that enough, it will come true.",3,1,2,1
"WINNING\ is not a moment fr me its wat m here for ......!!!\""""",5,6,2,6
Merry Christmas!,7,6,5,5
I'm decorating my house for x-mas tom it should be fun!!,7,6,6,5
Watchhin Pregency Pact,5,5,1,1
Thank you very much for all the lovely wishes guys!!!! :) :-*,7,7,7,6
Chunk: Sixteen thrity-two. What is that? A year?  Mouth: No,5,5,2,1
tune into 87.7 on the radio tomoro to hear mine and aqils show,5,5,1,1
stayed up way to late last night.... and has a LOT of work to get done today  :(,3,4,2,3
Gettin ready for work soon and not lookin forward to it.,4,4,2,1
damn i smoked a vap oh shit lol,5,5,3,2
Pink Champagne,5,5,1,1
listen to your heart,6,6,1,1
thank you to all the girl that went out with me for my bday this weekend it was a blast <3,7,7,4,1
"thanks you guys, 17 is such a milestone age xD well at least it's an awesome number",6,6,3,2
"The world is to Small to be lost in it. Live your life, don't let life kill you!",6,7,5,5
Damn it! I forgot about daylight savings!!!!!!,5,4,7,7
"thinks <PERSON>is a dick and needs to get off of his pedestal ,)",3,3,5,3
"Tommorow is going to be fucking amazing. Let's just say it involves my PS3, Black Ops, Mr. Holbrook, fifth period, school. and a bunch of kids.",6,7,3,3
Have to work wed. night . . sorry church gang nothing i can do . .,4,4,2,2
My net's network is messed up today so if anyone wants to get in touch just mail me and I'll get back to you ASAP. Cheers,5,5,2,1
"A nice day but full of adventures in Manchester:)...It's a hard life\ sometimes:))\""""",5,6,3,3
Good Morning w/ a head ache.,4,4,1,1
"Here comes the start of every sleepless night...\\""""",4,5,1,3
..life is a fairytale.. the most wonderful fairytale of all.. ^^,7,6,1,3
I hate spam :(,4,4,1,2
"I am working five days a week and only take a bath for five days, now my friends are now laughing at me. Any way i don't care as the bible says do nothings on sabath and i deed nothing i will only watch tomorrow morning when i go to work. They can laugh but i won't take a bath",5,5,3,1
Alien Technology,5,5,1,1
feeling like a bird sitting high=],7,7,2,2
And Queen,5,5,1,1
I might have the flu!! Yay (not)      UGH!!!,4,4,6,7
guess whos back yeah its me da # 1 dj here at your facebook hahaha enjoy fam!!!!!!,6,6,8,7
Poor Abraham Lincoln its to bad you an Barack Obama can't trade places. Anti Obama I hate that guy. F_ _ _ you Obama your biggest fan RFM.,3,1,5,4
Off to the bridal shop!! :),7,6,6,5
"Helping out Cafe' Di Luna move to a new spot on 3rd and Herr. Best coffee in the city.. Dwelling on NEGATIVITY only contributes to its POWER. Putting my inspiration, imagination and skills to the test..",5,6,2,3
"it's me who never lost...,i just let you win...,and your reward is too...,grab and hold my heart...",5,5,2,3
Hey guys my step mom challenged me 1.50 dollars to clean out her cats litter box so with the same with gary i think that is his name. Well i almost died back there it smelt of a rotted turd you wont ever want ot do it but i forgot.,5,5,2,2
busy in my project...time for end semester...,5,5,1,3
"Just went and saw Deathly Hallows,  what a great movie!!!",6,6,6,6
Love is like a fine wine you either savor the sips and create a long and enjoyable relationships or you chug glass after glass till you end up drunk and alone,7,5,2,1
<3 Love is not blind..it sees and doesn't mind....according to my cmz...is it true? <3,5,6,3,3
"needs a drink, ASAP!!!!!!!",5,5,8,9
F64 echipament foto-video <URL> by using the above link you will benefit of a 2% discount on all your orders,5,5,1,1
*Points at new Profilepick* DON'T I LOOK SEXY Dddddrawn by my love and coloured without permission by meeeeeeeee |D,5,5,4,4
LeT's CoMMiT tHe PeRfEcT CRIME..... I ll StEaL YoUr HEART aNd U sTeAl MiNe,5,5,3,4
"I can now add 'Ginger Tea' to the list of things that I have burned while attempting to cook them, it might top 'hard boiled eggs' but I am not sure.",5,5,2,1
Light headed.,4,5,1,1
"Ã¢â‚¬Å“I can't change the direction of the wind, but I can adjust my sails to always reach my destination.Ã¢â‚¬Â",5,6,2,1
looking for something to do this weekend,5,5,1,1
Blessed with a baby boy today...,8,7,1,3
laper ...,5,5,1,3
my poor four-legged daughter is getting her teeth cleaned and possibly pulled. ITS HELL TO GET OLD!,4,3,4,7
"Im listening to Dream Theater\...they're Amazing...i dont think Josh Ballard is ever wrong when he says somthings good.\""""",6,6,3,2
Feel like buying Google Nexus One!!,5,5,5,5
<PERSON> where are you? Are you still dating that guy?,5,5,3,1
"It would be like beating a unicorn to death with a bag full of rainbows\\""""",5,4,2,1
"Oh, I love a day off from work.",6,7,3,1
Crocs,5,5,1,1
"I Could Not Have Wanted My Birthdai Any Different> Just To Chill Take A Second And Sit Back And C Witch Way My Life Iz Going, And Itz Going Well",5,8,2,1
2010 --- year of completion,5,6,2,1
I need someone to text!,5,4,4,5
I will be posting pictures of my fun and wild time in Israel as soon as I got them developed.,6,5,3,1
It's not easy making a name for yourself        Where do you draw the line?        I never thought id be in this far        Lets have some fun and never change that for anyone        Try not to miss me when I'm gone,5,5,2,1
"Heading n2 town for a while, going to throw something out, which I hopefully won't regret but if anyone GIRLS esp. and boys wana meet up about half 5 or 6 in K2 i thinkit's on <ADDRESS> or thereabouts, feel free, not putting my no. up, I'm not that mad, I'm not going on a bender but just putting it out there for all the bored people who are near Dublin city centre!!!! Please tell me now if uÃ¢â‚¬Â¦ <URL>",5,5,5,6
just another day going by,5,4,1,1
"realizes that it is the people that create the atmosphere of Chinese New Year, and it is the people he misses. Not Singapore.",5,3,2,1
"1. 2. sing ... hapy b.day to me, hapy b.day to me ...Im 22 yrs old now!!",6,6,6,5
"Let me fill your heart with joy and laughter. Togetherness, well that's all I'm after. Whenever you need me, I'll be there. I'll be there to protect you, with an unselfish love that respects you.",7,8,2,1
fun times coming on saturday...<PERSON>bday at mario's...be there or be square!!!,6,6,6,6
HAPPY DASARA...,7,5,3,4
"WILL BE COMPLETELY HONEST FOR 24 HOURS ... You can ask me any question (only in my INBOX). Any question, no matter how crazy, or stupid it is. There is no ulterior motive, You have my FULL honesty, but I DARE you to put this text on your status and see what questions you get! You know you want to take advantage of this. have fun",5,5,2,6
waiting,5,5,1,1
wet dogs smell,5,5,1,1
It is a million times better to have common sense without education than to have education without common sense...Ã¢â‚¬Å’,6,5,1,2
i kicked my neighbour in an elevator coz thats how i roll!,5,5,4,5
today it snowed,5,5,1,1
for farmvill: who needs more horseshoes or nails???,5,5,3,4
pp,5,5,1,2
rawr,5,5,1,2
Happy thanksgiving everybody,7,5,2,1
homeeeee timeeeee whoooooooooooooo haaha,6,5,4,4
Why does waiting for the things you want the most in life seem to take the longest to work themselves out?,4,4,2,1
Existance begins when consciousness emerges.,5,5,2,1
You All Rock,6,6,3,1
20 of Snow!!!  I can't even open my door....,5,5,6,6
my family is fuckin crazy... i dont know whats wrong with them maybe the all got dropped on the head when they were babies that kinda explains there funny lookin heads lmfao .....,4,3,4,3
"There are about 350 million guns in the US, and about 250 million cars.  Annually, roughly 42,000 people die in car accidents, and 30,000 people die from guns (half of which are suicides).  So why isn't anyone trying to ban cars?",5,5,2,2
"Thank you to everybody for the happy birthday and new year....Im sorry its taken a while for me to reply, love you all hope you had a great beginning to your new year also...To my cuzzy you have moved on but will never be forgotten I love you forever cuz",8,8,3,3
i never thought that i could be so wrong about you twice....,4,2,2,3
i'l be at sta. rosa laguna for the press conference,5,5,2,1
Sorry Texas fans the sec is just to much to handle,5,5,2,1
Kids are at Grandma's for the weekend. Don't want to do homework.,5,5,2,1
Out n About. c/t,5,5,2,1
wants to get a video of the aircraft carrier sinking in Transformers 2. I want to Email it to my dad  >:),5,5,2,1
Got court tomorrow wish me luck,5,5,1,1
Thanks to all my friends for your kind greetings on my birthday. Thank you to all!,8,6,5,5
has been married for three years today!  Crazy.,7,7,4,5
one more day.......:),6,6,3,4
He was so thin i swear you could have used him for a whip he had to drink a beer to keep his britches on his hips i knew i had to ask him about the mysteries of life he spit between his boots and he replied it's faster horses,5,5,2,1
Doha of the Day: Your pursuit of Hapiness usually ends with something you have so check your wadobes check within urself daz the secret to hapiness!,7,6,4,5
The Three Tenors - La Donna e Mobile & Brindisi............thats wat im listening aint get no better than this,5,6,2,3
busy week at work the off to Ohakune for Mardi Gras yeah!,5,6,5,5
"People need to understand that children with special needs don't have an illness, so there is no cure & it's not contagious. They only want what we all want, to be accepted. 95% of you probably won't copy and paste this. Will you do it and leave it on your status for at least an hour? It's Special Education Week, and this is in honor of all the kids who need a little extra help & understanding",6,5,2,3
On a weekend back in Kerala full of Lusty Rain!!!,5,5,6,6
<PERSON> is the coolest person ever.,6,6,2,1
Workin out my faults one at a time.Makin progress,6,7,1,1
i heart soul eater!,5,5,4,5
I jumped on Chuck Norris in your bathroom because thats how I roll.,5,5,2,1
My jobs are interfering with my Lost addiction.,5,5,1,1
a mustache is a wish your face makes...,5,5,1,2
holy geez. thank you all SO MUCH for all the birthday wishes! it was a bit overwhelming! amazing! it's definitely been an excellent birthweek! so many well wishing and humbling moments and beautiful everything!,8,9,7,5
lbing,5,5,1,1
